源文本	hel模型	liam模型
16. Recommends that plans be drawn up to help the countries affected recover quickly from the negative effects of the Ebola crisis based on the lessons currently being learned;	16. 建议制定计划,根据目前正在吸取的经验教训,帮助受影响国家迅速从埃博拉危机的负面影响中恢复过来;	16. 建议制定计划,根据目前正在吸取的经验教训,帮助受影响的国家迅速从埃博拉危机的负面影响中恢复过来;
A particular focus is providing retraining and continuing education for educators in the field, and supplying them with instructional and training materials that meet current requirements and standards.	一个特别重点是为该领域的教育工作者提供再培训和继续教育,并向他们提供符合当前要求和标准的教学和培训材料。	特别重点是为该领域的教育工作者提供再培训和继续教育,向他们提供符合当前要求和标准的教学和培训材料。
He presented the quarterly financial report, highlighting areas in which UN-Habitat was ahead of its financial targets and those for which it lagged behind the 2014 goals.	他介绍了季度财务报告,重点介绍了人居署在财务指标方面领先的领域及其落后于2014年目标的领域。	他介绍了季度财务报告,重点介绍了人居署在哪些领域比其财务目标领先,哪些领域落后于2014年目标。
He expressed appreciation to the Government of Germany for resuming its support to non-earmarked funding of the Programme with a contribution of $1 million and he thanked several countries which had remitted their annual voluntary contributions as well as earmarked funding.	他感谢德国政府恢复对方案非专用资金的支助,捐款100万美元,他感谢几个国家汇出年度自愿捐款和专用资金。	他感谢德国政府以100万美元的捐款恢复对方案非专用资金的支持,并感谢几个国家汇出年度自愿捐款和专用资金。
Agenda item 33	议程项目33	议程项目33
At the 7359th meeting of the Security Council, held on 14 January 2015, in connection with the Council's consideration of the item entitled "Post-conflict peacebuilding", the President of the Security Council made the following statement on behalf of the Council:	安全理事会主席在2015年1月14日安全理事会第7359次会议上,就安理会审议的题为"冲突后建设和平"的项目,代表安理会发表声明如下:	安全理事会主席在2015年1月14日安全理事会第7359次会议上,就安理会审议的题为"冲突后建设和平"的项目,代表安理会发表声明如下:
2. Encourages Member States and relevant international organizations to enhance global cooperation in providing technical assistance, especially for capacity development in geodesy for developing countries, with the aim of ensuring the development, sustainability and advancement of a global geodetic reference frame;	2. 鼓励会员国和相关国际组织加强全球合作,提供技术援助,特别是为发展中国家发展大地测量能力提供技术援助,以确保全球大地测量参考框架的发展、可持续性和推进;	2. 鼓励会员国和相关国际组织加强全球合作,提供技术援助,特别是为发展中国家发展大地测量能力提供技术援助,以确保全球大地测量参考框架的发展、可持续性和推进;
Recognizing the importance of international cooperation, as no one country can do this alone, to realize the global geodetic reference frame and services to underpin Global Navigation Satellite Systems technology and provide the framework for all geospatial activity, as a key enabler of spatial data interoperability, disaster mitigation and sustainable development,	认识到国际合作的重要性,因为没有一个国家能够单独做到这一点,实现全球大地测量参考框架和服务,以支持全球导航卫星系统技术,为所有地理空间活动提供框架,以此作为空间数据互操作性、减灾和可持续发展的关键促进因素,	承认国际合作的重要性,因为没有一个国家能够单独实现这一点,实现全球大地测量参考框架和服务,以支持全球导航卫星系统技术,为所有地理空间活动提供框架,以此作为空间数据互操作性、减灾和可持续发展的关键促进因素,
The Group of Friends stresses the ability of the family with regard to the achievement of equality between women and men and the empowerment of women.	之友小组强调家庭在实现男女平等和赋予妇女权力方面的能力。	之友小组强调家庭在实现男女平等和赋予妇女权力方面的能力。
The Group of Friends recognizes the pivotal role of the family as an important contributor to the implementation of the post-2015 development agenda and the goals that the States Members of the United Nations would identify as global priorities.	之友小组确认家庭的关键作用,认为家庭是执行2015年后发展议程和联合国会员国确定为全球优先事项的目标的重要推动者。	之友小组认识到家庭的关键作用,认为家庭是执行2015年后发展议程和联合国会员国确定为全球优先事项的目标的重要推动者。
The Workshop recognized that outer space was a fragile environment where the steps taken by one actor might have an impact on others, including users of space services on Earth.	22. 讲习班认识到,外层空间是一个脆弱的环境,一个行为者采取的步骤可能对包括地球上空间服务用户在内的其他人产生影响。	22. 讲习班认识到,外层空间是一个脆弱的环境,一个行动者采取的步骤可能对其他人,包括地球上空间服务的用户产生影响。
25. Education is free and compulsory for all children between 5 and 15 years of age.	25. 对所有5至15岁的儿童实行免费义务教育。	25. 对所有5岁至15岁的儿童实行免费义务教育。
The dates of the latest reports submitted by OPANAL member States are shown in annex I.	拉加禁核组织成员国提交最新报告的日期见附件一。	拉加禁核组织成员国提交最新报告的日期见附件一。
Action 5: article VI of the Treaty on the Non-Proliferation of Nuclear Weapons	行动5:《不扩散核武器条约》第六条	行动5:《不扩散核武器条约》第六条
Likewise, Rakhine Response Plan which has been drawn up by UN Agencies and International Organizations, and is being implemented starting from July 2012.	同样,联合国机构和国际组织已经起草的《若开邦应对计划》也从2012年7月起开始实施。	同样,联合国各机构和国际组织已经起草的《若开邦应对计划》从2012年7月起开始实施。
From 2007 to 2013, total of (412) children born outside the country were provided with birth registration.	2007年至2013年,向在国外出生的总共412名儿童提供了出生登记。	2007年至2013年,共有412名在国外出生的儿童获得了出生登记。
Hundreds of thousands of civilians belonging to these communities have been forced to flee.	属于这些社区的数十万平民被迫逃离。	属于这些社区的数十万平民被迫逃离。
This high-level meeting will give us an opportunity to condemn the widespread and systematic persecution of members of these ethnic or religious groups, to address the impunity of the perpetrators and to reaffirm the undeniable right of these individuals to live in their own country in peace, freedom, equality and dignity.	这次高级别会议将使我们有机会谴责对这些族裔或宗教群体成员的广泛和有系统的迫害,解决肇事者逍遥法外的问题,并重申这些人在自己的国家和平、自由、平等和尊严地生活的权利是不容否认的。	本次高级别会议将使我们有机会谴责广泛和有系统地迫害这些族裔或宗教群体成员的行为,解决肇事者逍遥法外的问题,并重申这些人在自己的国家和平、自由、平等和尊严地生活的不容否认的权利。
17. It is indicated that, by the end of 2012, there were 141,738 women domestic migrant workers in the State party (paras. 90.2 and 250) and that measures are in place aimed at improving the situation of those workers, such as the adoption of a standard employment contract (para. 254.1).	17. 报告指出,截至2012年底,缔约国共有141,738名女性移徙家政工人(第90.2和250段),为改善这些工人的状况采取了各种措施,如通过标准就业合同(第254.1段)。	17. 报告指出,截至2012年底,缔约国共有141 738名女移徙家政工人(第90.2和250段),为改善这些工人的状况制定了措施,如通过标准就业合同(第254.1段)。
Please provide updated information on the status of the bill presented by the Minister of Justice in January 2014 to introduce and regulate optional civil marriage (para. 208.1).	请提供最新资料,说明司法部长2014年1月提出的关于引入和规范任择民事婚姻的法案的现状(第208.1段)。	请提供最新资料,说明司法部长2014年1月提出的关于引入和规范任择公证婚姻的法案的现状(第208.1段)。
More specifically, the workshop aims to identify promising practices in criminalization, international law enforcement and judicial cooperation, and protection of rights of victims of trafficking and smuggled migrants from both a national and an international perspective.	更具体地说,讲习班旨在从国家和国际角度查明刑事定罪、国际执法和司法合作以及保护贩运行为受害者和被偷运移民权利的可行做法。	更具体地说,讲习班旨在从国家和国际角度确定刑事定罪、国际执法和司法合作以及保护贩运行为被害人和被偷运移民权利的可行做法。
Conversely, when investigations were launched and completed during that period, 142 allegations (62 per cent) were found to have been unsubstantiated.	相反,当调查在这一期间启动和完成时,发现142项指控(62%)证据不足。	反之,当调查在上述期间启动和完成时,发现142项指控(62%)证据不足。
To be held on Wednesday, 28 January 2015, at 10 a.m.	定于2015年1月28日星期三上午10时举行	定于2015年1月28日星期三上午10时举行
36. The Committee calls upon the State party to implement systems of collection, analysis and dissemination of data disaggregated by sex, age, disability, race, ethnicity, geographic location and socioeconomic background and to use measurable indicators to assess trends in the situation of women and the progress achieved in the realization of substantive equality of women in all areas covered by the Convention.	36. 委员会吁请缔约国实施收集、分析和传播按性别、年龄、残疾、种族、族裔、地理位置和社会经济背景分列的数据的制度,并使用可衡量的指标评估妇女状况的趋势以及在《公约》所涉各个领域实现妇女实质性平等方面取得的进展。	36. 委员会呼吁缔约国实施收集、分析和传播按性别、年龄、残疾、种族、族裔、地理位置和社会经济背景分列的数据的系统,并使用可衡量的指标评估妇女状况的趋势以及在《公约》涵盖的所有领域实现妇女实质性平等方面取得的进展。
We would like to underscore separately that the search of the Crimean Tatar television channel "ATR" in Simferopol on 26 January 2015 and the confiscation of the archives with the materials on the events on 26 February 2014 preceded the arrest of Ahtem Chiygoz.	我们谨分别强调,2015年1月26日在辛菲罗波尔搜查克里米亚鞑靼电视频道“ATR”以及没收2014年2月26日事件档案和材料之前逮捕了阿赫泰姆·奇伊戈兹。	我们谨分别强调,2015年1月26日,在逮捕Ahtem Chiygoz之前,在Simferopol搜索克里米亚鞑靼电视频道“ATR”以及没收2014年2月26日事件档案和材料。
We are indignant in Ukraine at the arrest in Crimea of one of the leaders of the Mejlis of the Crimean Tatar People, Ahtem Chiygoz, on the ground of an absurd accusation in respect of the organization of and participation in the public disorder that took place on 26 February 2014 in Simferopol, Autonomous Republic of Crimea.	我们乌克兰对克里米亚克里米亚鞑靼人议会领导人之一阿赫泰姆·齐戈兹在克里米亚被捕感到愤慨,理由是对2014年2月26日在克里米亚自治共和国辛菲罗波尔组织和参与公共动乱的荒谬指控。	乌克兰对克里米亚克里米亚鞑靼人议会领导人之一Ahtem Chiygoz于2014年2月26日在克里米亚自治共和国辛菲罗波尔组织并参与公共骚乱的荒谬指控在克里米亚被捕感到愤慨。
7. At the same meeting, the Commission agreed to the proposal of the Chair to waive the relevant provision of rule 52 of the rules of procedure of the functional commissions of the Council and proceeded to act on the draft resolution.	7. 在同次会议上,委员会同意主席的提议,不适用理事会各职司委员会议事规则第52条的有关规定,着手就决议草案采取行动。	7. 在同次会议上,委员会同意主席的提议,不适用理事会各职司委员会议事规则第52条的有关规定,着手就决议草案采取行动。
Ambassador	大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使	大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使 大使
As a global organization of police forces, INTERPOL offers tools for countering the threat posed by Taliban cooperation with organized crime.	作为全球警察部队组织,国际刑警组织为打击塔利班与有组织犯罪合作造成的威胁提供了工具。	刑警组织作为一个全球警察部队组织,提供了各种工具,用以对付塔利班与有组织犯罪合作构成的威胁。
Ra'is Khudaidad was captured by Afghan security forces in September 2014.42	Ra'is Khudaidad于2014年9月被阿富汗安全部队抓获。	2014年9月,Ra'is Khudidad 被阿富汗安全部队抓获。
The Dominican Republic has created a fund for women forest users, helping them to produce food for subsistence and herbs and in the small-scale gathering and sale of forest byproducts, including fuelwood.	多米尼加共和国为妇女森林使用者设立了一个基金,帮助她们生产粮食以维持生计和草药,并小规模地收集和销售森林副产品,包括薪材。	多米尼加共和国为妇女森林使用者设立了一个基金,帮助她们生产粮食,以维持生计和种植草药,小规模地收集和销售森林副产品,包括薪柴。
At the same time, the Department continued to seek video footage of the effects of sea level rise and climate-induced migration.	与此同时,新闻部继续寻找关于海平面上升和气候引起的移徙的影响的录像。	与此同时,新闻部继续寻找关于海平面上升和气候引起的移徙影响的视频录像。
Convinced that meaningful and long lasting solutions to the recurrent youth challenges cannot be solved without the meaningful participation of the young people themselves;	深信没有青年人本身的有意义参与,就无法解决青年反复出现的挑战的有意义和长期的解决方案;	确信没有青年人本身的有意义参与,解决青年反复出现的挑战的有意义和长期的解决方案是无法解决的;
Several other seminars would be organized with ECCAS and member States to promote the protection of human rights in the electoral process.	还将与中非经共体和成员国组织其他几次研讨会,以促进在选举进程中保护人权。	还将与中非经共体和成员国举办若干其他研讨会,以促进在选举进程中保护人权。
58. On the international stage, Equatorial Guinea had been helpful in resolving the conflict in the Central African Republic by contributing 220 men with the necessary equipment to the African-led International Support Mission in the Central African Republic (MISCA).	58. 在国际舞台上,赤道几内亚通过向非洲主导的中非共和国国际支助团(中非支助团)派遣220名配备必要装备的男子,帮助解决中非共和国的冲突。	58. 在国际舞台上,赤道几内亚通过向非洲主导的中非共和国国际支助团(中非支助团)派遣220名配备必要装备的男子,帮助解决中非共和国的冲突。
The Act gives tribes greater sentencing authority; strengthens defendants' rights; helps at-risk youth; establishes new guidelines and training for law enforcement officers handling domestic violence and sex crimes; improves services to victims; helps combat alcohol and drug abuse and expands recruitment and retention of tribal law enforcement officers at Bureau of Indian Affairs, giving them better access to criminal databases.	该法赋予部落更大的判刑权;加强被告的权利;帮助处境危险的青年;为处理家庭暴力和性犯罪的执法官员制定新的指导方针和培训;改善对受害者的服务;帮助打击酗酒和吸毒,扩大印第安事务局部落执法官员的征聘和留用,使他们更容易使用犯罪数据库。	该法案赋予部落更大的判刑权力;加强被告的权利;帮助风险青年;为处理家庭暴力和性犯罪的执法官员制定新的指导方针和培训;改进对受害者的服务;帮助打击酗酒和吸毒,扩大印第安事务局部落执法官员的征聘和留用,使他们更容易进入犯罪数据库。
Institutional and legislative framework and access to justice	体制和立法框架及司法救助	体制和立法框架以及司法救助
18. Please indicate the measures taken to reduce poverty in urban and rural areas and to enhance the participation of rural women in developing policies in areas that affect them, including access to land, farm inputs and food crops.	18. 请说明采取了哪些措施减少城市和农村地区的贫穷,加强农村妇女参与制定影响她们地区的政策,包括获得土地、农业投入和粮食作物。	18. 请说明为减少城市和农村地区的贫穷、加强农村妇女参与制订影响她们领域的政策,包括获得土地、农业投入和粮食作物等而采取的措施。
The Republic of Ghana, in fulfilment of its national obligations under the Charter of the United Nations and in aspiring for peaceful coexistence, hereby submits an update of its report on the implementation of Security Council resolution 1540 (2004) of 28 April 2004.	加纳共和国在履行《联合国宪章》规定的国家义务和渴望和平共处的同时,谨提交加纳共和国关于安全理事会2004年4月28日第1540(2004)号决议执行情况的报告的更新本。	加纳共和国在履行《联合国宪章》规定的国家义务和渴望和平共处的同时,谨提交关于安全理事会2004年4月28日第1540(2004)号决议执行情况的报告的更新本。
In this regard, it is relevant to note that the Palestinian Government had previously declared its intentions to create a nature reserve and build an airport in this area of Palestine.	在这方面,应该指出,巴勒斯坦政府以前曾宣布打算在巴勒斯坦这一地区建立自然保护区和机场。	在这方面,需要指出的是,巴勒斯坦政府以前曾宣布打算在巴勒斯坦这一地区建立自然保护区和机场。
Throughout nearly half a century of this belligerent military occupation, all such measures have served one Israeli agenda: to forcibly displace the Palestinian population and colonize and de facto annex massive areas of Palestinian land, in grave breach of international law and in contradiction to the two-State solution on the pre-1967 borders.	在近半个世纪的这种交战军事占领中,所有这些措施都服务于以色列的一个议程:强行驱逐巴勒斯坦人口,殖民化和事实上吞并大片巴勒斯坦土地,严重违反国际法,违背1967年以前边界的两国解决方案。	在整个近半个世纪的交战军事占领中,所有这些措施都服务于以色列的一个议程:强行驱逐巴勒斯坦人口,殖民和事实上吞并大片巴勒斯坦土地,严重违反国际法,违背1967年前两国边界解决办法。
The Board will oversee the development of a common information management infrastructure, including one global United Nations digital repository for official documentation, research, studies and statistics.	执行局将监督共同信息管理基础设施的发展,包括一个全球联合国数字储存库,用于正式文件、研究、研究和统计。	委员会将监督共同信息管理基础设施的发展,包括一个全球联合国数字储存库,用于正式文件、研究、研究和统计。
The issue to be published in early 2015 will focus on the sustainable development goals beyond 2015.	将于2015年初出版的问题将侧重于2015年后的可持续发展目标。	将于2015年初出版的问题将侧重于2015年后的可持续发展目标。
In this regard, the Council urges progress by Burundi towards development and of ongoing economic reforms to enhance macro-economic stability, including the policy on zero tolerance on corruption, and calls for these efforts to include holding accountable individuals that violate the zero tolerance policy on corruption.	在这方面,安理会敦促布隆迪在发展和正在进行的经济改革方面取得进展,以加强宏观经济稳定,包括实行对腐败零容忍政策,并呼吁这些努力包括追究违反对腐败零容忍政策的个人的责任。	在这方面,安理会敦促布隆迪在发展和正在进行的经济改革方面取得进展,以加强宏观经济稳定,包括实行对腐败零容忍政策,并呼吁这些努力包括追究违反对腐败零容忍政策的个人的责任。
The Council notes that the spirit of Arusha helped to sustain almost a decade of peace in Burundi.	安理会指出,阿鲁沙精神有助于维持布隆迪近十年的和平。	安理会指出,阿鲁沙精神有助于布隆迪维持近十年的和平。
3. The individuals who are to receive the Prize shall be announced in May of the year in which the Prize is to be awarded.	3. 获奖者应在颁奖年份的5月宣布。	3. 获得该奖的个人应在颁发该奖的年份的5月宣布。
Decides to adopt the statute of the United Nations Nelson Rolihlahla Mandela Prize, as annexed to the present resolution.	决定通过本决议所附联合国纳尔逊·罗利拉拉·曼德拉奖章程。	决定通过本决议所附联合国纳尔逊·罗利拉拉·曼德拉奖章程。
I have the honour to transmit a letter dated 7 January 2015, which I received from Hassan Sheikh Mohamud, President of the Federal Republic of Somalia, in connection with paragraph 15 of Security Council resolution 2182 (2014).	谨转递2015年1月7日索马里联邦共和国总统哈桑·谢赫·马哈茂德根据安全理事会第2182(2014)号决议第15段给我的信。	谨随函转递2015年1月7日索马里联邦共和国总统哈桑·谢赫·穆罕默德根据安全理事会第2182(2014)号决议第15段给我的信。
The leaders will contribute to this process and will use their influence on the relevant parties to facilitate the implementation of the package of measures.	领导人将推动这一进程,并利用其对有关各方的影响,促进一揽子措施的执行。	领导人将推动这一进程,并利用其对有关各方的影响力,促进一揽子措施的执行。
Turkey respects the territorial integrity of Syria and is committed to protect its rights and interests emanating from international law and to exercise its right of self-defence stipulated in Article 51 of the Charter of the United Nations.	土耳其尊重叙利亚的领土完整,并承诺保护其源于国际法的权利和利益,行使《联合国宪章》第五十一条所规定的自卫权。	土耳其尊重叙利亚的领土完整,并致力于保护其源于国际法的权利和利益,行使《联合国宪章》第五十一条所规定的自卫权。
The present report is submitted in compliance with those requests and provides information on the payment plan submitted earlier by Sao Tome and Principe and on the status of implementation of that plan as at 31 December 2014.	本报告是根据这些要求提交的,其中介绍了圣多美和普林西比早些时候提交的付款计划以及截至2014年12月31日该计划的执行情况。	本报告是根据这些请求提交的,其中介绍了圣多美和普林西比早些时候提交的付款计划以及截至2014年12月31日该计划的执行情况。
Summary	摘要摘要摘要	摘要摘要
For those who said they work on monitoring and evaluation part time, they estimated that approximately 10 per cent of their time was spent on evaluation.	对那些说他们从事监测和评价兼职工作的人来说,他们估计他们大约10%的时间用于评价。	对于那些说他们从事监测和评价兼职工作的人,他们估计,他们大约10%的时间用于评价。
The UNV strategic framework, 2014-2017, reflects a strong commitment to clearly demonstrating the contribution of volunteerism to the achievement of more effective peace and development results.	2014-2017年联合国志愿人员组织战略框架反映了对明确展示志愿服务对实现更有效的和平与发展成果的贡献的坚定承诺。	2014-2017年联合国志愿人员组织战略框架体现了对明确展示志愿服务对实现更有效的和平与发展成果所作贡献的坚定承诺。
This is a sine quo non for ending the occupation and for salvaging the two-State solution and must be a central pillar of any genuine push for a just and peaceful solution.	这是结束占领和挽救两国解决方案的必要条件,必须成为真正推动公正和平解决的核心支柱。	这是结束占领和挽救两国解决方案的必要条件,必须成为真正推动公正和平解决的核心支柱。
It is clear that attacks against Palestinian Christian and Muslim holy sites are intended to terrorize and intimidate the Palestinian people, an objective shamelessly claimed by settlers carrying out this violent campaign, which they have dubbed as "price tag" attacks for years, as well as by settler leaders, some of them members of the Israeli Government.	显然,对巴勒斯坦基督教和穆斯林圣地的袭击旨在恐吓和恐吓巴勒斯坦人民。 实施这一暴力运动的定居者以及定居者领导人(其中一些是以色列政府成员)多年来一直把这种暴力运动称为“价格标签”攻击,他们无耻地客观地声称这种攻击是对巴勒斯坦人民的恐吓和恐吓。	很明显,袭击巴勒斯坦基督教和穆斯林圣地的目的是恐吓和恐吓巴勒斯坦人民,实施这一暴力运动的定居者以及定居者领导人,其中有些是以色列政府成员多年来称之为“价格标签”攻击,他们无耻地客观地声称,这是一次客观的、无耻的行动。
Takes note of the holding of an orientation workshop for new members and requests the Secretariat to continue, subject to the availability of resources, to organize such workshops and to report on the results of that activity to the Conference of the Parties at its eighth meeting;	注意到为新成员举办了一次概况讲习班,并请秘书处在资源允许的情况下,继续组织此类讲习班,并向缔约方大会第八届会议报告这一活动的结果;	注意到为新成员举办了一次概况讲习班,并请秘书处在资源允许的情况下,继续组织此类讲习班,并向缔约方大会第八届会议报告这一活动的结果;
Sendai, Japan, 13 March 2015	2015年3月13日,日本仙台	2015年3月13日,日本仙台
In order to prevent the transfer of knowledge or expertise which could contribute to proliferation programmes, access to research and higher education institutions which are deemed to be sensitive is subject to authorization by the relevant line ministry.	为了防止转让可能有助于扩散方案的知识或专门知识,进入被认为敏感的研究和高等教育机构,须经有关职能部委批准。	为防止转让可能有助于扩散方案的知识或专门知识,进入被认为敏感的研究和高等教育机构,须经相关主管部委授权。
2. The present document has been prepared by the Secretariat on the basis of the replies received from Mozambique and Qatar.	2. 本文件是秘书处根据从莫桑比克和卡塔尔收到的答复编写的。	2. 本文件是秘书处根据从莫桑比克和卡塔尔收到的答复编写的。
These amendments included clauses to strengthen the referral system in cases of domestic violence, and to introduce criminal charges or violations of civil protection orders.	这些修正案包括加强家庭暴力案件转介制度的条款,以及提出刑事指控或违反民事保护令的条款。	修正案包括加强家庭暴力案件转介制度的条款,以及提出刑事指控或违反民事保护令的条款。
Domestic violence became a specific criminal offence in 2012, with the adoption of a package of amendments to the country's Criminal Code.	2012年,家庭暴力成为一项具体的刑事犯罪,该国通过了对《刑法》的一揽子修正案。	家庭暴力在2012年成为一项具体的刑事犯罪,该国通过了《刑法》一揽子修正案。
Organization of American States (resolution 253 (III), 16 October 1948)	美洲国家组织(1948年10月16日,第253(III)号决议)	美洲国家组织(1948年10月16日,第253(III)号决议)
I have the honour to refer to the United Nations Disengagement Observer Force (UNDOF), which was established by the Security Council in its resolution 350 (1974) and most recently extended by the Council in its resolution 2192 (2014).	谨提及联合国脱离接触观察员部队(观察员部队)。 观察员部队是安全理事会第350(1974)号决议设立的,最近经安理会第2192(2014)号决议延长。	谨提及联合国脱离接触观察员部队(观察员部队)。 观察员部队是安全理事会第350(1974)号决议设立的,最近一次经安理会第2192(2014)号决议延长。
7396th meeting, held on 3 March 2015.	第7396次会议,2015年3月3日举行。	第7396次会议,2015年3月3日举行。
